# Venerable Master Hsing Yun's One-Stroke Calligraphy
# Translation by: Ven. Miao Guang 妙光
# Source: FoguangPedia. Copyright Fo Guang Shan, reproduced with permission
一二三四	One, Two, Three, Four
心燈亮了	Light of the Mind is Illuminating
心頭活水	A Free-Flowing Mind
心頭無事一床寬	A Mind Without Trouble Sleeps on a Broad Bed
心懷大千	Emrace the Whole World
心懷大地	A Mind that Embraces the Great Land
心懷天下	A Mind that Embraces the World
心懷法界	A Mind that Embraces the Dharma Realm
心懷慈悲	Have Compassion in Mind
心懷道本	Be Mindful of the Basis of the Path
心靈世界	The Spiritual World
心靈寶藏	Spiritual Treasure
戶納千祥	Boundless Auspiciousness in the Household
方便	Convenience
方便為門	Skillful Means as the Way
方便般若	Prajna Wisdom as a Skillful Means
方便善巧	Skillful and Expedient Means
方圓自在	Be Flexible and At Ease
方圓自如	Be at Perfect Ease in Both Rigid and Flexible Circumstances
方圓活用	Be at Perfect Ease in Both Rigid and Flexible Circumstances
日日生息	Make a Steady Progress Everyday
日日吉祥	Everyday is Auspicious
日日好日	Everyday is a Good Day
日日知非 日日改過	Recognize Your Faults and Correct Them Daily
日日是好日	Everyday is a Good Day
日日新	Renew Yourself Everyday
日日增上	Make Daily Improvements
日月心辰	The Sun and Moon of the Mind
日月光明	Brightness of the Sun and Moon
日月光華	Brilliance of the Sun and Moon
日月明心	A Mind Clear as the Sun and Moon
日月長明	Eternally Bright Sun And Moon
日月長明，生命光輝	Eternally Bright Sun And Moon, The Glory of Life
日月晴空	The Sun and Moon in a Clear Sky
日月雲水	Travel Freely Like the Sun and Moon
日月禪心	A Chan Mind Like the Sun and the Moon
日出人生	A Life Like the Rising Sun
日用有道	Follow the Way in One's Daily Life
日行三好	Practice the Three Good Deeds Everyday
日勤必成	Persisted Diligence Shall Yield Success
日勤有功	Success Comes from Persisted Diligence
日勤有成	Persisted Diligence Shall Yield Success
日新又新	Daily Renewal
日照人間	The Sun Shining on the World
月正當空	The Moon Is High Above In the Sky
月白風清	Bright Moon, Clear Wind
月明天清	A Bright Moon In a Clear Sky
月映千江	The Moon’s Reflection in a Thousand Rivers
月滿空山	The Moon Fills the Mountain of Emptiness
止觀	Cessation and Contemplation
水月人生	Life is Like the Moon in the Water
水月心情	A Mind Like the Moon In the Water
水月金容	A Golden Appearance Like Moon and Water
水清月明	In Clear Water, a Bright Moon is Seen
水清月現	Moon is Reflected in Clear Water
世事如意	All Wishes on Worldly Matters Fulfilled
世事彬成	World Affairs Accomplished Through One’s Gentlemen-like Quality
世界和平	World Peace
世界和平，天下一家	World Peace; One World, One Family
世紀生春	Springful Joy in the New Millennium
世間解	Knower of the World
世道中流	The Way of the World Lies in the Middle Path
世道寬心，人和為最	Tread the Path of Life With a Mind at Ease, Harmony Between People Is Most Important
主動向前	Be Proactive in Moving Forward
代代興旺	Prosperous Family Generations
以人為本	Focus on Humans
以小明大	Realize the Big Through the Small
以仁存心	Have a Benevolent Mind
以心印心，不立文字	Mind-to-Mind Connection
Doesn't Rely on Words
以水為鑑	Follow the Example of Water
以古為鑑	Learn From the Past
以正為法	Righteousness as Dharma
以忙為樂	Find Joy in Being Busy
以忍為力	Endurance is Your Strength
以戒為師	Regard Precepts as the Teacher
以足為富	Contentment Makes One Wealthy
以和為貴	Peace is Priceless
以法為依	Reliance on the Dharma
以法為侶	Dharma as Companion
以法為師	Regard the Dharma as the Teacher
以空為有	Regard Emptiness as Existence
以空為樂	Happiness is Found in Emptiness
以退為進	To Retreat Means To Advance
以眾為我	Regard the Multitude as Myself
以無為有	Owning Everything by Having Nothing
以勤為富	Diligence is Wealth
以慈立心	Establish One’s Mind With Compassion
以慈為心	Let Compassion Fill the Mind
以道為本，以慈為用	Regard the Path as the Foundation, and Compassion as the Way to Life
以德服人	Win the Respect of Others With One’s Virtue
以德為本	Regard Morality as the Foundation
冬去春來	Winter Goes and Spring Comes
冬梅傳香	The Permeating Fragrance of Winter Plum Blossoms
出塵上士	Out of the Dust Comes a Sage
出類拔萃	Be Outstanding
功成果滿	Success and Accomplishment
功果圓滿	Perfect Fruit of One’s Efforts
功德海	Ocean of Merits
功德無量	Boundless Merits
功德福海	Ocean of Merits
包容是幅	Tolerance is a Merit
包容是福	Tolerance is a Merit
古仙人道	Path of the Ancient Sages
古道人心	The Ancient Ways and Minds
古道明心	The Primordial Way and A Clear Mind
古道禪心	The Primordial Way and Ch'an Mind
四大皆有	Existence of the Four Great Elements
四大皆空	The Four Elements are Empty
四和人生	A Life of Four Harmonies
四季平安	Peace Be With All Four Seasons
四季生春	Four Seasons of Spring
四季安康	Peace and Good Health Throughout All Four Seasons
四恩總報	Four Ways of Repaying Kindness
四海一家	We Are Family
四給	Four Givings
四給人生	Life of Four Givings
巧思正慧	An Agile Mind With Right Wisdom
巧智慧心	Skillful Wisdom and Enlightened Mind
巧智慧心，收放自如	Maintain Control of Every Step Forward and Backward in Perfect Ease
巧慧妙用	Wondrous and Skillful Wisdom
平心靜氣	Be Calm and Peaceful
平安	Safety and Peace
平安吉祥	Safety and Auspiciousness
平安如意	Peace, Stability, and Wishes Fulfilled
平安是福	Safety Is a Blessing
平安歲月	Peaceful Years
平安福	Safety is a Blessing
平步青雲	Be On a Steady Rise
平和	Peace
平常心	Ordinary Mind
平常心是道	Ordinary Mind is the Way
平等忍	Universal Tolerance
平等與和平	Peace and Equality
本立道生	The Path is Found Once the Basis is Established
本地風光	Brilliance of the Original State
本自俱足	Intrinsically Sufficient
本自圓成	Inherently Complete
本來如是	Everything is Meant to Be
本來面目	Original Face
本性光照	Illumination of Our Original Nature
本然清淨	Naturally Pure
正人君子	An Honorable Person
正大光明	Be Just and Honorable
正己和人	Discpline Yourself and Be Kind to Others
正心正人	An Upright Mind and Upright Person
正心正道	An Upright Mind Leads to the Right Path
正心為念	Right Mindfulness
正心為道	A Righteous Mind is a Righteous Path
正心無畏	A Righteous Mind is a Fearless Mind
正心誠意	A Righteous Mind with Sincere Intentions
正字品牌	A Good Brand Name
正行	Right Action
正行無畏	Right Action Makes One Fearless
正見	Right View
正命	Right Livelihood
正命吉祥	Right Livelihood Brings Auspiciousness
正命為心	Keep Right Livelihood in Mind
正定	Right concentration
正念分明	Perfectly Clear With Right Thoughts
正念生香	Fragrant Right Thoughts
正念吉祥	Right Mindfulness is Auspiciousness
正念如是	Mindfulness As Such
正念行正	Right Thought, Right Action
正念為心	Keep Right Thoughts in Mind
正念為用	Use Right Thoughts
正念善用	Make Good Use of Right Thoughts
正念菩提	Right Mindfulness is Bodhi
正法之友	Be a Friend of Righteous Dharma
正法行	Act In Accordance With the Right Dharma
正法為家	Abide in the Righteous Dharma
正法淨心	Right Dharma Purifies the Mind
正法眼藏	Treasure of the True Dharma Eye
正知	Right Understanding
正知正見	Right Understanding and Right Views
正思惟	Right View
正派做人	Maintain a Righteous Character
正氣	Right Integrity
正氣我心	Be Righteous
正徧智	Correctly Enlightened
正義和平	Righteousness and Peace
正遍知	Samyak-sambuddha
正道吾家	Righteousness is My Family Motto
正覺	Samyak-Sambodhi
正覺人生	A Life of Righteous Awakening
永不退票	Never Make Any Returns
永保安康	Eternal Blessing of Peace and Good Health
永恆真心	An Eternally True Mind
永結善緣	Good Affinities Always
玉佛緣	The Jade Buddha Affinity
甘泉活水	Sweet Fountain and Free-Flowing Water
甘願愚拙	Willing to be Slow-witted
甘露法水	Dharma Nectar
甘露門	The Dew Gate of Dharma
生生不息	Life Continues Without End
生如來家	Born in the Home of Tathagata
生忍法忍	Ordinary Tolerance and Dharma Tolerance
生忍法忍 ，無生法忍	Ordinary Tolerance, Dharma Tolerance, Tolerance of Non-Arising Dharmas
生命之光	The Light of Life
生命心光	Brightness of the Mind and Life
生命永恆	The Eternity of Life
生命光華	The Splendor of Life
生命吉祥	Life is an Auspicious Blessing
生命有力	The Power of Life
生命有時 慈悲無限	Unlike Life that is Limited, Compassion Is Limitless
生命自然	A Natural Part of Life
生命放光	A Shining Life
生命花開	Life Blooms like a Flower
生命活水	Life as Free-flowing Water
生命活泉	Life is Like a Flowing Spring
生命無限
慈悲更廣	Beyond This Limitless Life is Boundless Compassion
生活吉祥	Life is an Auspicious Blessing
生活安忍	Live in Peace and Patience
生活法喜	Life with Dharma Joy
生活美學	The Esthetics of Life
生活淡然	Simple Living
生活禪	Living Chan
生活禪心	Chan Mind in Life
生耕致富	Earnest Cultivation Yields Fruitful Harvests
生機	Vitality
生機活水	Flowing Water is the Source of Life
生機無限	Boundless Vitality
白雲飄飄	Fluttering White Clouds
示教利喜	Inspiration, Teaching, Benefit, and Joy
立心立德	Establish One's Mind and Merits
立功立德，心懷天下	Establish One’s Merit and Virtue, A Mind that Embraces the World
立功立德立言	Establish One’s Merit, Virtue, and Teachings
立功有心	Aspire to Establish Merits
立地成佛	Immediate Attainment of Buddhahood
立志有望	Hope Starts from Aspiration
立志飛揚	Aspire and Rise
立志高遠	Aspire for Greatness
立足當下	Abide in the Present Moment
立足當下，心懷世界	Abide in the Present Moment, Embrace the World
立定腳跟	Set One's Foot Firmly on the Ground
立德人	Establisher of Virtue
任性見心	Let One’s Nature Guide One in Discovering the Mind
任重道遠	Shoulder Heavy Responsibilities
任運自在	Be at Perfect Ease When Following Conditions
任運隨心	Follow One’s Own Heart
任運隨喜	Be Joyful with Fate
光大家門	Honor Your Family
光水人生	The Life of Light and Water
光水心長	Bright Water and Broad Mind
光光互映	The Mutual Illumination of Lights
光光相照	Mutual Shining of Radiant Lights
光明	Brightness
光明世界	A Bright World
光明正大	Upright and Honorable
光明在望	Hope is Within Reach
光明希望	Brightness and Hope
光明身心	A Bright Body and Mind
光明法喜	Bright Light and Dharma Joy
光明善美	Brightness, Goodness and Beauty
光明無量	Light is Boundless
光明磊落	Straightforward and Honorable Character
光明藏	The Treasure of Light
光音美妙	A Sound as Wonderful as Light
光華生命	The Splendor of Life
光照三千	Light Shining Across the Universe
光照三界	Light Shines Over the Three Realms
光照大千	Light Shines on the Universe
光壽無量	Infinite Light and Infinite Life
光滿月圓	Radiance of the Full Moon
全力以赴	Give Your Best Effort
全心全力	Wholehearted Devotion
全心服務	Serve With Wholeheartedness
全心為民	Wholehearted Devotion For the People
全始全終	From Beginning to End
全家好	Blessings for the Entire Family
全家福	Family Union is a Blessing
全意全意	Wholeheartedness, Wholeheartedness
共生共存	Coexistence and Shared Glory
共生共有	Coexistence and Sharing of Possessions
共生共榮	Coexistence and Shared Glory
共生共榮，共有因緣	Coexistence and Shared Glory, Co-owned Causes and Conditions
共生共榮，應世無畏	Coexistence and Shared Glory, Face the World Fearlessly
共生吉祥	Auspicious Coexistence
共生和平	Coexistence and Peace
共生和諧	Harmonious Coexistence
共生花果	Coexistence Yields Beautiful and Fruitful Results
共生緣	Coexisting Affinity
共有共榮	Equal Sharing of Every Honor and Possession
共榮共有	Equal Sharing of Every Honor and Possession
共識有路	Common Consensus Offers a Way Out
吃虧是福	Being Disadvantaged is in Fact a Blessing
合十	Joined Palms
合十人生	A Life of Joined Palms
合十淨心	Joined Palms with a Pure Mind
合家吉祥	Auspiciousness for the Whole Family
合家同心	A Family United In Heart
合家和敬	Harmony and Respect Within the Family
合家歡	A Joyful Family Reunion
合掌	Join Palms
合掌人生	A Life With Palms Joined
合掌服務	Palms Joined in Service
吉人天相	Heaven Protects the Good
吉人福地	A Blessed One Resides In a Place of Blessings
吉星高照	Auspicious Star Shining High Above
吉星福德	Auspicious Star, Fortune and Virtue
吉祥	Auspicious Blessings
吉祥生輝	Illuminating Auspiciousness
吉祥如意	Auspicious Fulfillment of All Wishes
吉祥幸福	Auspiciousness and Happiness
吉祥恕道	Auspicious Path of Forbearance
吉祥您好	Auspicious Greetings
吉祥增輝	Brightful Auspiciousness
吉祥歡喜	Auspiciousness and Joy
吉慶人家	A Family of Auspicious Blessings and Celebration
吉慶家門	Fortune and Jubilee for the Family
吉慶福門	A Fortunate Family of Auspicious Blessings and Celebration
同中存異	Celebrate Our Differences
同心同德	Same Mind, Same Virtue
同心圓	A Complete Circle Forms From Oneness
同心緣	The Affinity to Be of One Mind
同体含光	All Encompassing Light
同修仁德，濟世養生	Nurture Both Benevolence and Virtue, Reliever of the World and Preserver of Good Health
同登法界	Ascend with the Dharma Realm
同體共生	Live Together in Coexistence
向前有路	There is a Path Ahead
回因向果	Transfer the Cause to the Effect
回自向他	Transfer One’s Own Merits to Others
回頭是岸	Repentance is Salvation
因該果海	The Cause Leads to Its Corresponding Effects
因緣果報	Causes, Conditions, and Effects
地水火風	Earth, Water, Fire and Wind
多佛心	Plentiful Mind of the Buddha
多寶如來	Buddha of Abundant Treasures
多寶佛	Prabhutaratna Buddha
好人好事	Good People and Good Deeds
好心好人	Good Mind, Good Person
好心好報	Good Begets Good
好心善緣	A Kind Heart Creates Wholesome Conditions
好因好報	Good Causes and Good Rewards
好因好緣	Good Causes and Good Conditions
好事連連	A Continuation of Good Things
好運	Good Luck
好運來	Good Luck Has Come
好運到	Good Luck is Here
好運福來	Good Luck and Blessings Have Come
好緣	Good Conditions
如也	As It is
如心如恕	Follow Your Heart in Forgiveness
如如	Thusness
如如不動	Be Unmoveable Like the Absolute Truth
如如如如	Thus Thus Thus Thus
如如自在	Thus At Perfect Ease
如沐春風	Bathing in the Spring Breeze
如來之家	Home of Tathagata
如來佛子	Children of the Tathagata Buddha
如空能容	Like the All-Encompassing Emptiness
如花似玉	As Pretty As Flower and Jade
如是一心	Thusness in One Mind
如是如是	As It Is
如意	As You Wish
如意吉祥	Luck and Auspiciousness
如意安康	Fulfilled Wishes, Safety, and Health
宅心仁厚	Benevolent and Generous Mind
宇宙一心	The Universe in One's Mind
宇宙我心	The Universe is My Heart
宇宙我心	The Universe is My Heart
宇宙為心	The Universe as Our Mind
守心守一	Be of One Mind
守正守道	Follow Righteousness and the Correct Path
守份守道	Abide by the Way and Do One's Duty
安之如素	Find Peace in Being Ordinary
安心	Settle One's Mind
安心立命	Settle One’s Mind and Establish One’s Role
安心吉祥	Auspicious and Peaceful Mind
安心自在	A Peaceful Mind Brings Perfect Ease
安心定性	Peaceful Mind and Stable Nature
安心厚道	Peace, Honesty, and Kindness
安平	Safety and Peace
安份守道	Abide By the Path and Fulfill One's Duty
安好	Safe and Sound
安住	Settled and At Ease
安住身心	Settle the Body and Mind in Peace
安住慈忍	Abide Peacefully By Compassion and Tolerance
安住慈悲	Abide in Compassion
安住慈悲喜捨中	Abide Peacefully By Kindness, Compassion, Joy, and Equanimity
安住當下	Abide in the Here and Now
安忍	Patience
安忍人好	Patience Brings Peace to the Heart
安忍不動	Unmoved in Patience
安忍生活	Live with Patience
安忍吉祥	Peace and Patience Brings Auscpiciousness
安忍如山	Be Patient and Steady Like the Mountain
安忍如山，心慈如地	Be Peaceful and Patient Like the Mountains, Have a Compassionate Heart Like the Earth
安忍如地	Be Peaceful and Patient Like the Earth
安忍自在	Patient and Carefree
安忍為道	The Way is to Find Peace in Patience
安忍家和	Peace and Patientient Makes a Harmonious Family
安忍養心	Patience Nurtures the Mind
安忍興家	Peace and Patience Brings Prosperity to the Family
安忍興家 百福吉祥	Peace and Patience Brings Prosperity to the Family, A Hundred Auspicious Blessings
安忍禪心	Peace and Patience: the Chan Mind
安身立命	Settle Oneself and Establish One's Duties
安和	Peace and Harmony
安和樂利	Harmony and Happiness
安定如山	Steady as the Mountain
安於無諍	Settle With No Disputes
安祥和樂	Peaceful, Harmonious and Happy
安善自得	At Perfect Ease With Being Good
安富尊榮	Perfect Ease, Wealth, Nobility, Honor
安然	Peacefulness
安然一如	Peace in its True Form
安然人	A Peaceful One
安然也	Peaceful
安然生活	Live in Perfect Ease
安然有道	Be at Peace and Remain Firm with Your Principles
安然自在	Peaceful and Carefree
安然養心	Peacefulness Fosters the Mind
安寧	Tranquility
安樂	Stability and Happiness
安樂和敬	Stability, Happiness, Harmony and Respect
安樂淨土	A Peaceful Pureland
安樂祥和	Stability, Happiness, Auspiciousness, and Harmony
安樂富有	Safety, Joy, and Wealth
安樂富有，金玉滿堂	Safety, Joy, and Wealth; A House Filled With Treasures of Gold and Jade
安樂富足	Peace, Joy, Wealth, and Abundance
忙是營養	Busy is nutritious
成人之美	Assist Others in Fulfilling Their Goals
成人之美，我心安然	Assist Others in Fulfilling Their Goals  My Mind is Peaceful and at Ease
成人之美，我心自在	Assist Others in Fulfilling Their Goals  I am Carefree in Mind
成功在望	Success is in Sight
成就福慧	Accomplished in Fortune and Wisdom
收放自如	Maintain Control of Every Step Forward and Backward in Perfect Ease
旭日東昇	Rising Sun In the East
曲直向前	Unwavering Advancement Despite Life's Twists and Turns
曲直向前，福慧雙全	Unwavering Advancement Despite Life's Twists and Turns Leads to the Attainment of Happiness and Wisdom							
有因好果	Right Cause and Good Effect
有佛在心	Let the Buddha Be in Your Mind
有佛法就有辦法	Where There Is Dharma, There Is a Way
有志竟成	Where There is a Will, There is a Way
有品人生	A Life of Nobility
有品道人	A Practitioner of Integrity
有為	Promising
有容乃大	Tolerance Makes Greatness
有您吉祥	You Are An Auspicious Blessing
有您真好	It’s Good to Have You
有情有義	Sentiment and Righteousness
有情有義，您真好	Righteousness and Commitment, It's Good to Have You
有情有義，福德人家	Sentiment and Righteousness, A Family of Blessings and Virtue
有無相生	Arising of Form and Formless Characteristics
有義	Righteousness
有道	Have a Path
有道人生	A Life of the Way
有道家昌	A Family With the Way Will Prosper
有道福來	One Who Follows the Way Will be Followed by Blessings
有福人家	A Blessed Family
有鳳來儀	Signs of Auspice
有餘人家	A Family of Good Surplus
有願必成	May Every Vow Be Accomplished
江月不隨流水去	The Moon in the River Does Not Go Away With the Flowing Waters
江海合流	Merging Rivers and Oceans
江湖禪心	A Chan Mind That Travels the World
百年吉祥	A Century of Auspiciousness
百年築夢	A Dream Pursued Across a Century
百忍成金	Endurance is Gold
百味妙香	The World's Every Wondrous Taste
百味具足	The World's Every Good Taste
百花齊放	Let a Hundred Flowers Blossom
百界千如	One Hundred Realms and One Thousand Thusnesses
百福吉祥	A Hundred Fortunes and Auspiciousness
百福並臻	Hundreds of Fortune Acquired
百福具臻	Abundant Merits are Sufficient to Rise
百福莊嚴	With Abundant Merits and Dignity
百福臨門	Abundant Merits Arriving at the Door
竹密不妨流水過	No Matter How Dense, Bamboos Never Stop Water From Seeping Through
老二人生	A Lifetime of Being Second
老二哲學	Philosophy of Being Second
老奶奶紀念館	Memorial Hall for Master's Dear Mother
耳目巧心	Knowledge and Agility
耳目巧心	Knowledge of the Mind
自心信樂	Belief and Joy in One’s Heart
自他一如，共生吉祥	See the Self and Others as One, Auspicious Coexistence
自由自在	Be Liberated and Carefree
自在	Carefree
自在人生	A Life at Ease
自在吉祥	Carefree and Auspicious
自在放下	Let Go and Be at Ease
自在為樂	Happiness Can Be Found in Carefreeness
自在與圓滿	Freeness and Wholeness
自性自覺	Self-nature, Self-awakening
自家寶藏	The Treasure Within Oneself
自強不息	Continuously Strive to Improve
自然之美	Natural Beauty
自覺	Self-awakening
自覺人	A Self-Awakened Person
自覺行佛	Self-Awareness and Practice the Buddha's Way
自覺行佛	Self-Awareness and Practice the Buddha's Way
自覺為教，戒如大師	Self-Awareness and Commitment, Precepts Are Your Best Teacher
自覺覺人	Enlighten Oneself and Others
自覺覺他	Enlighten Oneself and Others
至真至善	The Zenith of Truthfulness and Virtue
至誠合天	Sincerity Brings Harmony
至誠至真	Utmost Sincerity and Truthfulness
色不異空，空不異色	Form is Not Different From Emptiness, Emptiness is Not Different From Form
行三好，救台灣	Practice the Three Acts of Goodness to Save Taiwan
行仁天下	Benevolence For the World
行止如法	Conduct in Accordance with the Dharma
行止成慧	Conduct Becomes Wisdom
行正心安	Righteous Actions Will Bring Peace to the Mind
行如冬陽	Deeds Like the Winter Sun
行佛	Practice the Buddha’s Way
行佛人間	Practice the Buddha's Way in the Human World
行走大千	Travel the Great World
行走天下	Travel the Great World
行善積德	Do Good Deeds and Accumulate Virtue
行雲流水	Be like Floating Clouds and Flowing Water
行慈	Practice Compassion
行慈悲心	Realize a Compassionate Mind
行腳山河	Travel the Mountains and Rivers
行腳天下	Walk the Paths of the World
行道	Practice the Way
行道人	Cultivating Practitioner
行道天下	Practice the Way in the World
行道福人	The Blessed One Practices the Way
行禪	Practice Meditation
但向己求，莫從他覓	Expect Only of Yourself, Not of Others
但求無愧，反求諸己	One Asks Only to Have A Clear Conscience, Always Seek the Cause in Oneself
但求諸己	See the Cause in Oneself
佛	Buddha
佛口婆心	Words of the Buddha and Heart of a Caring Mother
佛土淨華	Pure Flower of Buddha Land
佛子	Child of the Buddha
佛子天然	A Child of the Buddha as Have Been
佛化你我	Let Buddha Be in You and Me
佛心	Buddha’s Mind
佛心禪道	Buddha’s Mind, Chan's Path
佛手婆心	Buddha's Hand, a Mother's Heart
佛光人	Buddha's Light Member
佛光大學	Fo Guang University
佛光世界	A World of Buddha’s Light
佛光法水	Buddha’s Light and Dharma Stream
佛光法水，如意吉祥	Buddha’s Light and Dharma Stream, Luck and Auspiciousness
佛光淨土	Buddha’s Light Pureland
佛光淨水	Buddha's Light and Pure Water
佛光普照	Buddha's Light Shines Universally
佛光普照，法水長流	Buddha’s Light Shines Everywhere, Everflowing Stream of Dharma
佛光普照三千界	May the Buddha’s Light Shine Universally On the Three Thousand Realms
佛光道念	Buddha’s Light and Aspiration for the Path
佛在心中，道在當下	The Buddha is in One's Mind, The Path is in the Present Moment
佛在我心	The Buddha is in My Mind
佛性禪心	Buddha Nature and Chan Mind
佛法為家	Home is Where the Dharma Is
佛陀之子	Child of the Buddha
佛陀紀念館	Buddha Memorial Center
佛是人成	Buddhahood is Attained by Humans
佛國淨土	The Kingdom of Buddha, a Pureland
佛教靠我	Buddhism Depends on Me
佛道	Buddhahood
佛道人行	The Buddha’s Way
佛道禪心	Buddha Path and Chan Mind
佛壽無量	Infinite Lifespan of Buddha
佛緣	Buddha Connection
你大我小	Put Others Before You
你好	How Are You
你我同心	You and I are of One Mind
你我感動	You and I are Moved
利他無價	The Priceless Intention of Benefiting Others
利樂人間	Bring Benefit and Joy to the World
利樂有情	To Bring Benefit and Joy to Sentient Beings
助成因緣	Helping Becomes a Cause and Condition
努力向上	Strive to Make Progress
君子交誼	Friendship Among the Noble Ones
君子知義	A Gentlemen Knows Righteousness
